Date,RELIANCE.NS,RELI_Return,Excess_Market,Risk_Free_Rate,Excess_RELI,Combined,CPI_Shock,General Index,Monthly change IIP,InterestRate,Interest_Shock,USDINR,Monthly change in USD/INR exchange rate
2017-02-01,277.2161560058594,0.1845102508665097,0.0378413899483321,0.0045950184722884,0.1799152323942213,130.6,0.0023023791250957,119.2,-0.0316815597075548,6.98,0.1900000000000004,66.69319915771484,-0.0166290677224218
2017-03-01,295.7673645019531,0.0669196513052494,0.0269672227885939,0.0049181205355564,0.062001530769693,130.9,0.0022970903522205,133.2,0.1174496644295299,7.12,0.1399999999999996,64.79000091552734,-0.0285366164200168
2017-04-01,312.40411376953125,0.0562494421776147,0.0192250047291342,0.0044545828475592,0.0517948593300554,131.1,0.001527883880825,117.3,-0.1193693693693692,7.16,0.04,64.25830078125,-0.008206515307363
2017-05-01,300.20086669921875,-0.0390623763658731,-0.0033064362976147,0.0054942918117124,-0.0445566681775854,131.4,0.0022883295194509,124.8,0.0639386189258313,7.11,-0.0499999999999998,64.61859893798828,0.0056070290119376
2017-06-01,309.00067138671875,0.0293130555692793,-0.005322764031054,0.005017610212217,0.0242954453570623,132.0,0.004566210045662,119.3,-0.0440705128205127,6.58,-0.5300000000000002,64.78510284423828,0.0025767179881102
2017-07-01,361.6651306152344,0.1704347728183584,0.0401272319109448,0.0051314897054102,0.1653032831129482,134.2,0.0166666666666666,118.0,-0.0108968985750209,6.55,-0.0300000000000002,64.12349700927734,-0.0102123143425676
2017-08-01,359.8683166503906,-0.0049681703120982,-0.0021927433166412,0.0050693598402102,-0.0100375301523084,135.4,0.0089418777943368,122.1,0.0347457627118643,6.6,0.0499999999999998,63.976200103759766,-0.0022970816063925
2017-09-01,352.4881591796875,-0.020507938957774,-0.0145841441903632,0.004710945922435,-0.025218884880209,135.2,-0.0014771048744461,123.1,0.0081900081900081,6.72,0.1200000000000001,65.36000061035156,0.02162992650935
2017-10-01,424.6875,0.2048277053854383,0.0814247274910651,0.0051938975438912,0.199633807841547,136.1,0.0066568047337278,122.5,-0.0048740861088545,6.94,0.2200000000000006,64.84239959716797,-0.0079192320738995
2017-11-01,415.9757080078125,-0.0205134174944812,0.000622274337374,0.0048826166615538,-0.025396034156035,137.6,0.0110213078618661,125.8,0.0269387755102039,7.17,0.2299999999999995,64.41480255126953,-0.0065944050274955
